index,flight_id,Diverting Airport,ACtype,flight_time_sec,Fuel_consumption_kg,Remaining_Fuel_kg
1,6J62,SDJ,B738,2727.868384,903.2749413,5874.115971
2,6J62,NGO,B738,890.8360473,141.4214356,5874.115971
3,6J62,NRT,B738,1610.936867,270.8778209,5874.115971
4,6J62,ITM,B738,1834.261642,411.5134652,5874.115971
5,6J62,KIX,B738,1990.150572,448.6624835,5874.115971
6,6J96,SDJ,B738,2233.364689,1011.883931,4935.113092
7,6J96,NGO,B738,1712.962108,734.5335239,4935.113092
8,6J96,NRT,B738,957.739986,259.5252899,4935.113092
9,6J96,ITM,B738,2326.664958,1167.530568,4935.113092
10,6J96,KIX,B738,2610.538284,1229.037183,4935.113092
11,7G26,SDJ,A20N,3.34E+03,1.45E+03,5358.225123
12,7G26,NGO,A20N,1033.978179,351.1688785,5358.225123
13,7G26,NRT,A20N,2.70E+03,1.17E+03,5358.225123
14,7G26,ITM,A20N,243.6709337,82.75771371,5358.225123
15,7G26,KIX,A20N,81.50989,27.68311152,5358.225123
16,AA175,SDJ,B788,1617.20496,1557.954367,12577.17562
17,AA175,NGO,B788,2350.528865,2530.630364,12577.17562
18,AA175,NRT,B788,342.7473868,163.8946037,12577.17562
19,AA175,ITM,B788,2869.513776,3283.242854,12577.17562
20,AA175,KIX,B788,3133.436763,3415.787686,12577.17562
21,AF274,SDJ,B77W,3446.662055,5496.698783,39131.03176
22,AF274,NGO,B77W,2381.594287,3117.452029,39131.03176
23,AF274,NRT,B77W,3352.977593,5420.150019,39131.03176
24,AF274,ITM,B77W,2025.463297,2293.709055,39131.03176
25,AF274,KIX,B77W,2045.935587,2173.308567,39131.03176
26,BC618,SDJ,B738,7430.60051,3638.316594,10046.90285
27,BC618,NGO,B738,5515.123868,2513.388629,10046.90285
28,BC618,NRT,B738,6527.532716,3143.026841,10046.90285
29,BC618,ITM,B738,5297.459434,2376.480039,10046.90285
30,BC618,KIX,B738,5249.798311,2312.236447,10046.90285
31,BC720,SDJ,B738,1821.816887,924.6887629,5138.016145
32,BC720,NGO,B738,2319.852591,1302.967165,5138.016145
33,BC720,NRT,B738,299.698236,106.1704641,5138.016145
34,BC720,ITM,B738,2969.147924,1702.234483,5138.016145
35,BC720,KIX,B738,3204.042643,1768.87856,5138.016145
36,BC966,SDJ,B738,1950.456045,1064.243014,5294.898738
37,BC966,NGO,B738,2310.752388,1331.738854,5294.898738
38,BC966,NRT,B738,332.6304206,182.8476551,5294.898738
39,BC966,ITM,B738,2973.715729,1722.041977,5294.898738
40,BC966,KIX,B738,3167.872494,1787.971476,5294.898738
41,BR190,SDJ,B78X,7941.454662,9313.535428,24329.79074
42,BR190,NGO,B78X,6189.796868,6936.612524,24329.79074
43,BR190,NRT,B78X,7244.261558,8439.342119,24329.79074
44,BR190,ITM,B78X,5937.342939,6538.729856,24329.79074
45,BR190,KIX,B78X,5911.416729,6384.180889,24329.79074
46,CX542,SDJ,B773,9.28E+03,1.76E+04,49681.74904
47,CX542,NGO,B773,7.52E+03,1.44E+04,49681.74904
48,CX542,NRT,B773,8.61E+03,1.64E+04,49681.74904
49,CX542,ITM,B773,7.32E+03,1.38E+04,49681.74904
50,CX542,KIX,B773,7.20E+03,1.36E+04,49681.74904
51,CZ3085,SDJ,B738,6602.944212,3272.487857,11726.95351
52,CZ3085,NGO,B738,4914.898858,2274.610315,11726.95351
53,CZ3085,NRT,B738,6219.920742,3017.064462,11726.95351
54,CZ3085,ITM,B738,4620.968339,2042.588672,11726.95351
55,CZ3085,KIX,B738,4626.031006,1980.228021,11726.95351
56,DL181,SDJ,B763,1861.189954,2298.788829,10141.43061
57,DL181,NGO,B763,1898.798312,2424.214138,10141.43061
58,DL181,NRT,B763,500.9614012,292.0942662,10141.43061
59,DL181,ITM,B763,2431.189677,3217.216807,10141.43061
60,DL181,KIX,B763,2668.485281,3345.692021,10141.43061
61,HA457,SDJ,A332,5224.484588,5355.382091,23628.80618
