flight_id,State,aircraft_type,origin_code,origin_lat,origin_lon,Fuel_used_to_origin_airport,
6J62,"[33.958927,138.121368,240.269497327686,36175,515,5874.11597112487]",B738,KMI,31.8772,131.4486,2530,
6J96,"[34.860783,139.253601,90.5432276849522,14750,377,4935.11309192356]",B738,OIT,33.4794,131.7372,2980,
7G26,"[34.548,135.234665,428.500924636633,8900,252,5358.225123071]",A20N,KIX,34.4273,135.244,140,
AA175,"[35.805607,140.199631,48.4756807317694,9900,232,12577.1756189391]",A20N,DFW,32.8975,-97.0404,49200,
AF274,"[36.327301,131.592285,741.890305599057,37000,542,39131.0317569764]",B77W,CDG,49.0097,2.5478,122900,
BC618,"[25.886814,127.291451,1603.67159912595,33350,581,10046.902851432]",B738,UKB,34.6328,135.224,1400,
BC720,"[35.613255,140.147858,33.9673491202153,8050,250,5138.01614518596]",B738,CTS,42.7753,141.692,4600,
BC966,"[35.384857,140.116486,35.0985636920478,6025,240,5294.89873776433]",B738,CTS,42.7753,141.692,4990,
BR190,"[25.636318,122.516731,1981.56757610899,26175,513,24329.790741083]",B789,TSA,25.0683,121.551,1790,
CX542,"[22.312775,113.94915,2899.41512501837,1175,193,49681.7490396592]",B773,HKG,22.3089,113.9144,0,
CZ3085,"[31.449463,124.5485,1638.01150333532,31000,533,11726.9535055385]",B738,CAN,23.3925,113.2989,5920,
DL181,"[35.337898,139.795822,23.8845535722224,3850,216,10141.4306104189]",B763,HNL,21.3187,-157.9224,64264,
HA457,"[35.00124,149.996002,1305.56356291488,39996,373,23628.8061819331]",A332,HNL,21.3187,-157.9224,61247.36522,
HD28,"[35.957695,140.131958,55.4664726826459,8525,238,7808.73507596881]",B763,CTS,42.7753,141.692,8620,
HD60,"[36.664356,140.333511,139.142250698286,21050,384,9887.75730236243]",B763,HKD,41.7707,140.822,6110,
JL128,"[35.036957,139.684387,57.9540947012826,8400,300,4354.66792772017]",B788,ITM,34.7855,135.4382,5160,
JL156,"[36.961349,140.409882,173.013397782279,26475,298,3802.30860001647]",E190,MSJ,40.7036,141.369,1360,
JL166,"[35.436493,139.878326,16.4979419634926,2350,188,3106.15601615062]",B738,AXT,39.6261,140.218,4280,
JL26,"[24.569504,121.23774,2165.31660978372,40975,588,21680.9494850432]",B789,HKG,22.3089,113.9144,3420,
JL322,"[34.317005,135.872559,390.577116873336,41000,579,9941.07521209649]",A359,FUK,33.5863,130.451,4760,
JL376,"[35.178131,139.748337,41.7033956966271,5925,284,4561.37203213872]",B738,KKJ,33.846,130.864,3740,
